,1961 [1961],1962 [1962],1963 [1963],1964 [1964],1965 [1965],1966 [1966],1967 [1967],1968 [1968],1969 [1969],1970 [1970],1971 [1971],1972 [1972],1973 [1973],1974 [1974],1975 [1975],1976 [1976],1977 [1977],1978 [1978],1979 [1979],1980 [1980],1981 [1981],1982 [1982],1983 [1983],1984 [1984],1985 [1985],1986 [1986],1987 [1987],1988 [1988],1989 [1989],1990 [1990],1991 [1991],1992 [1992],1993 [1993],1994 [1994],1995 [1995],1996 [1996],1997 [1997],1998 [1998],1999 [1999],2000 [2000],2001 [2001],2002 [2002],2003 [2003],2004 [2004],2005 [2005],2006 [2006],2007 [2007],2008 [2008],2009 [2009],2010 [2010],2011 [2011],2012 [2012],2013 [2013],2014 [2014],2015 [2015],2016 [2016],2017 [2017],2018 [2018],2019 [2019]
China [351],"1184,8","1270,6","1340,4","1479,2","1511,5","1714,1","1935,8","1817,5","1776,9","2089,1","2146,1",1925,"2334,4","2468,3","2542,2","2507,2","2515,8","2803,1","2985,1","3078,5","3050,7","3268,6","3625,5",3962,"3610,3","3707,4",3923,"3930,6","3881,3","4525,2","4579,9","4534,7","4964,1","4695,1","4917,7","5203,9","4390,1","5268,6","4945,8","4599,2","4699,9","4873,7","4814,6","5121,7","5288,1","5327,2","5167,3","5556,1","5259,3","5459,8","5748,1","5869,9","6016,1","5809,1","5892,9","5966,7","6110,3","6104,2",
India [100],4507000,4643000,4582000,4618000,4799000,5073800,5583400,5715800,5862200,5852300,5667600,5837800,6015400,5863100,6030700,6000300,5682700,5760000,5720600,6004800,5934700,5720300,5859000,5799500,5797200,5923100,5560900,5896700,5915100,5904300,5859400,5962500,5995000,6135800,5979000,6300000,6321000,6203700,6422100,6611300,6581500,6635200,7343400,7430400,7588300,7894000,8117300,8173800,8261600,8553200,8780000,8710000,9430000,9258000,8690000,9900000,9220000,9200000,
India [100],4312000,4607000,4561000,4664000,4823000,4893600,6269300,5701100,5674300,7485600,5100500,6388500,5803500,5558900,7255800,6361200,5973300,6199000,5602900,6957000,6897100,6548500,7922000,8441800,6643700,7592800,5721300,8228700,9651300,8961700,8064400,9992100,9601000,8884400,9534000,10769000,10816000,11147700,11509600,12043200,13160200,11151700,14984300,14172000,14709900,15097000,18955400,19731400,16719500,21725800,21760000,22260000,24259510,24170000,22570000,25900000,28750000,27820000,
India [100],"956,7","992,2","995,4",1010,1005,"964,5","1122,8","997,4","967,9","1279,1","899,9","1094,3","964,8","948,1","1203,1","1060,1","1051,1","1076,2","979,4","1158,6","1162,2","1144,8","1352,1","1455,6",1146,"1281,9","1028,8","1395,5","1631,6","1517,8","1376,3","1675,8","1601,5",1448,"1594,6","1709,4","1711,1","1796,9","1792,2","1821,6","1999,6","1680,7","2040,5","1907,3","1938,5","1912,5","2335,2",2414,"2023,8","2540,1","2478,4","2555,7","2572,6","2610,7","2597,2","2616,2","3118,2","3023,9",
Indonesia [101],2462000,3175000,2559000,3646000,2507000,3778000,2547000,3220010,2434820,2938610,2626700,2160050,3433170,2666870,2444870,2095050,2566510,3024610,2593621,2734940,2955039,2061299,3002227,3086246,2439966,3142759,2626033,3405751,2944199,3158092,2909100,3629346,2939534,3109400,3651838,3743570,3355224,3833820,3456357,3500000,3285900,3126830,3358511,3356914,3625987,3345805,3630324,4003313,4160659,4131676,3864692,3957595,3821504,3837019,3787367,4444369,5533169,5680360,5644775
Indonesia [101],2283100,3242900,2357800,3768600,2364500,3717400,2369101,3166050,2292880,2825220,2606490,2254380,3689800,3010780,2902890,2572140,3142650,4029200,3605535,3990939,4509302,3234825,5086875,5287825,4329503,5920374,5155680,6651917,6192512,6734028,6255906,7995459,6459737,6868880,8245902,9307423,8770851,10169488,9204036,9677000,9347200,9585277,10886442,11225243,12523894,11609463,13287527,16323922,17629740,18327636,17643250,19387022,18511853,19008426,19612435,23578413,28924015,30253938,30693355
Indonesia [101],"927,3","1021,4","921,4","1033,6","943,2",984,"930,2","983,2","941,7","961,4","992,3","1043,7","1074,8",1129,"1187,3","1227,7","1224,5","1332,1","1390,2","1459,2",1526,"1569,3","1694,4","1713,4","1774,4","1883,8","1963,3","1953,1","2103,3","2132,3","2150,5",2203,"2197,5","2209,1",2258,"2486,2","2614,1","2652,6","2662,9","2764,9","2844,6","3065,5","3241,4","3343,9","3453,9","3469,9","3660,1","4077,6","4237,2","4435,9","4565,2","4898,7","4844,1",4954,"5178,4","5305,2","5227,4","5326,1",
Mexico [138],6287747,6371704,6963077,7460627,7718371,8286935,7610932,7675845,7103509,7439684,7691656,7292180,7606341,6717234,6694267,6783184,7469649,7191128,5581158,6776479,7668692,5629549,7421317,6892682,7589537,6470501,6804274,6502674,6469702,7338872,6946831,7219352,7428220,8193968,8020392,8050931,7406061,7876819,7162702,7131180,7810850,7119724,7520900,7687660,6605600,7294842,7333277,7353940,6223047,7148045,6069092,6923900,7095630,7060275,7099724,7598185,7327679,7122710,
Mexico [138],6246106,6337359,6870201,8454046,8936381,9271485,8603279,9061823,8410891,8879385,9785734,9222837,8609132,7847763,8448708,8017294,10137914,10930077,8457899,12374400,13988074,10119665,13188000,12788809,14103454,11909708,11606945,10592291,10952847,14635439,14251500,16929344,18125264,18235826,18352856,18023626,17656258,18454710,17706376,17556900,20134300,19297800,20701400,21670200,19338700,21893209,23512752,24320100,20142816,23301879,17635417,22069254,22663953,23273257,24694046,28250160,27763203,27169977,
Mexico [138],"993,4","994,6","986,7","1133,2","1157,8","1118,8","1130,4","1180,6",1184,"1193,5","1272,3","1264,8","1131,8","1168,3","1262,1","1181,9","1357,2","1519,9","1515,4","1826,1",1824,"1797,6",1777,"1855,4","1858,3","1840,6","1705,8","1628,9","1692,9","1994,2","2051,5",2345,"2440,1","2225,5","2288,3","2238,7",2384,"2342,9",2472,2462,"2577,7","2710,5","2752,5","2818,8","2927,6","3001,2","3206,3","3307,1","3236,8","3259,9","2905,8","3187,4","3194,1","3296,4","3478,2",3718,"3788,8","3814,6",
